iter	Passed	Remaining
0	1	111
1	2	105
2	3	100
3	4	99
4	5	97
5	6	96
6	7	95
7	8	94
8	9	92
9	10	90
10	11	89
11	12	88
12	13	87
13	13	85
14	14	84
15	15	83
16	16	82
17	17	81
18	18	79
19	19	78
20	20	77
21	21	76
22	22	75
23	23	74
24	24	73
25	25	72
26	26	71
27	27	70
28	28	69
29	29	68
30	30	67
31	31	66
32	32	65
33	33	64
34	34	63
35	35	62
36	35	61
37	36	60
38	37	59
39	38	58
40	39	56
41	40	55
42	41	55
43	42	53
44	42	52
45	43	51
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	52	42
55	53	41
56	54	40
57	55	39
58	55	38
59	56	37
60	57	36
61	58	36
62	59	35
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	75	17
81	76	16
82	76	15
83	77	14
84	78	13
85	78	12
86	79	11
87	80	10
88	80	9
89	81	9
90	81	8
91	82	7
92	83	6
93	83	5
94	83	4
95	84	3
96	84	2
97	85	1
98	85	0
99	86	0
